,date,long_trades,short_trades,short_returns,long_returns,total_returns,initial_investment,total_capital,total_investment,returns_1,transaction_cost,weekly_date,monthly_date
0,2019-05-05,0,0,0.0,0.0,0.0,5000.0,10000.0,0.0,0.0,0.0,2019-04-28,2019-04-05
1,2019-05-06,2,0,0.0,0.0,0.0,5000.0,5006.2000732421875,4993.7999267578125,0.0,99.87599853515626,2019-04-29,2019-04-06
2,2019-05-07,3,0,0.0,-29.43988037109375,-29.43988037109375,2503.1000366210938,2520.4400634765625,7479.5599365234375,-0.002943988037109375,149.00240112304687,2019-04-30,2019-04-07
3,2019-05-08,4,0,0.0,15.880126953125,15.880126953125,1260.2200317382812,1288.8800964355469,8711.119903564453,0.0015880126953125,174.54000061035157,2019-05-01,2019-04-08
4,2019-05-09,5,0,0.0,104.03985595703125,104.03985595703125,644.4400482177734,666.1400909423828,9333.859909057617,0.010403985595703125,188.75799530029298,2019-05-02,2019-04-09
5,2019-05-10,6,0,0.0,175.18002319335938,175.18002319335938,333.0700454711914,354.98008728027344,9645.019912719727,0.017518002319335937,196.40399871826173,2019-05-03,2019-04-10
6,2019-05-11,6,0,0.0,175.18002319335938,175.18002319335938,177.49004364013672,354.98008728027344,9645.019912719727,0.017518002319335937,196.40399871826173,2019-05-04,2019-04-11
7,2019-05-12,6,0,0.0,175.18002319335938,175.18002319335938,177.49004364013672,354.98008728027344,9645.019912719727,0.017518002319335937,196.40399871826173,2019-05-05,2019-04-12
8,2019-05-13,6,1,-29.43994140625,124.08016967773438,94.64022827148438,177.49004364013672,2684.230155944824,9772.08991241455,0.009464022827148437,198.2082014465332,2019-05-06,2019-04-13
9,2019-05-14,6,1,-29.43994140625,171.24991607666016,141.80997467041016,1342.115077972412,2684.230155944824,9772.08991241455,0.014180997467041016,199.1515963745117,2019-05-07,2019-04-14
10,2019-05-15,6,1,-29.43994140625,163.11004638671875,133.67010498046875,1342.115077972412,2684.230155944824,9772.08991241455,0.013367010498046875,198.9887989807129,2019-05-08,2019-04-15
11,2019-05-16,7,1,-29.43994140625,208.1800994873047,178.7401580810547,1342.115077972412,2128.3801651000977,10327.939903259277,0.017874015808105468,211.00719985961913,2019-05-09,2019-04-16
12,2019-05-17,7,1,-29.43994140625,215.72008514404297,186.28014373779297,1064.1900825500488,2128.3801651000977,10327.939903259277,0.018628014373779297,211.1579995727539,2019-05-10,2019-04-17
13,2019-05-18,7,1,-29.43994140625,215.72008514404297,186.28014373779297,1064.1900825500488,2128.3801651000977,10327.939903259277,0.018628014373779297,211.1579995727539,2019-05-11,2019-04-18
14,2019-05-19,7,1,-29.43994140625,215.72008514404297,186.28014373779297,1064.1900825500488,2128.3801651000977,10327.939903259277,0.018628014373779297,211.1579995727539,2019-05-12,2019-04-19
15,2019-05-20,6,2,-29.73993682861328,237.5801773071289,207.84024047851562,1064.1900825500488,2439.2401733398438,10327.939903259277,0.02078402404785156,210.71560287475586,2019-05-13,2019-04-20
16,2019-05-21,7,2,-29.73993682861328,326.69022369384766,296.9502868652344,1219.6200866699219,1932.4801635742188,10834.699913024902,0.029695028686523437,222.63300399780272,2019-05-14,2019-04-21
17,2019-05-22,8,2,-29.73993682861328,341.14013671875,311.4001998901367,966.2400817871094,1845.1901626586914,10921.98991394043,0.03114001998901367,224.66780227661133,2019-05-15,2019-04-22
18,2019-05-23,8,2,-29.73993682861328,341.39002990722656,311.6500930786133,922.5950813293457,1845.1901626586914,10921.98991394043,0.031165009307861327,224.67280014038084,2019-05-16,2019-04-23
19,2019-05-24,8,2,-29.73993682861328,342.2201156616211,312.4801788330078,922.5950813293457,1845.1901626586914,10921.98991394043,0.031248017883300783,224.68940185546876,2019-05-17,2019-04-24
20,2019-05-25,8,2,-29.73993682861328,342.2201156616211,312.4801788330078,922.5950813293457,1845.1901626586914,10921.98991394043,0.031248017883300783,224.68940185546876,2019-05-18,2019-04-25
21,2019-05-26,8,2,-29.73993682861328,342.2201156616211,312.4801788330078,922.5950813293457,1845.1901626586914,10921.98991394043,0.031248017883300783,224.68940185546876,2019-05-19,2019-04-26
22,2019-05-27,8,2,-29.73993682861328,342.2201156616211,312.4801788330078,922.5950813293457,1845.1901626586914,10921.98991394043,0.031248017883300783,224.68940185546876,2019-05-20,2019-04-27
23,2019-05-28,3,7,2.3301010131835938,247.8499298095703,250.1800308227539,922.5950813293457,4452.6801834106445,10921.98991394043,0.025018003082275392,223.44339889526367,2019-05-21,2019-04-28
24,2019-05-29,3,8,5.380104064941406,269.72015380859375,275.10025787353516,2226.3400917053223,4260.690200805664,11672.879890441895,0.027510025787353516,238.95960296630858,2019-05-22,2019-04-29
25,2019-05-30,4,8,5.380104064941406,297.51002502441406,302.89012908935547,2130.345100402832,3365.170181274414,12568.399909973145,0.030289012908935545,257.42580078125,2019-05-23,2019-04-30
26,2019-05-31,4,8,5.380104064941406,324.2100372314453,329.5901412963867,1682.585090637207,3365.170181274414,12568.399909973145,0.03295901412963867,257.9598010253906,2019-05-24,2019-05-01
27,2019-06-05,5,8,5.380104064941406,629.9100570678711,635.2901611328125,1682.585090637207,1739.5702056884766,14193.999885559082,0.06352901611328125,296.5858009338379,2019-05-29,2019-05-06
28,2019-06-06,7,8,5.380104064941406,651.5601043701172,656.9402084350586,869.7851028442383,1272.9901962280273,14660.579895019531,0.06569402084350585,306.35040206909184,2019-05-30,2019-05-07
29,2019-06-07,9,8,5.380104064941406,683.8801727294922,689.2602767944336,636.4950981140137,963.9101943969727,14969.659896850586,0.06892602767944336,313.1784034729004,2019-05-31,2019-05-08
30,2019-06-08,9,8,5.380104064941406,683.8801727294922,689.2602767944336,481.9550971984863,963.9101943969727,14969.659896850586,0.06892602767944336,313.1784034729004,2019-06-01,2019-05-09
31,2019-06-09,9,8,5.380104064941406,683.8801727294922,689.2602767944336,481.9550971984863,963.9101943969727,14969.659896850586,0.06892602767944336,313.1784034729004,2019-06-02,2019-05-10
32,2019-06-10,11,8,5.380104064941406,665.5400161743164,670.9201202392578,481.9550971984863,504.29019927978516,15429.279891967773,0.06709201202392578,322.0040002441406,2019-06-03,2019-05-11
33,2019-06-11,7,13,437.8001022338867,1.2500419616699219,439.05014419555664,252.14509963989258,7554.6401290893555,15663.419891357422,0.04390501441955567,322.04940071105955,2019-06-04,2019-05-12
34,2019-06-12,8,13,437.8001022338867,27.110095977783203,464.9101982116699,3777.3200645446777,3794.819999694824,19423.240020751953,0.04649101982116699,397.76300437927245,2019-06-05,2019-05-13
35,2019-06-13,9,13,437.8001022338867,35.77985382080078,473.5799560546875,1897.409999847412,3007.859977722168,20210.20004272461,0.04735799560546875,413.6755999755859,2019-06-06,2019-05-14
36,2019-06-14,9,13,437.8001022338867,98.38994979858398,536.1900520324707,1503.929988861084,3007.859977722168,20210.20004272461,0.05361900520324707,414.92780189514156,2019-06-07,2019-05-15
37,2019-06-15,9,13,437.8001022338867,98.38994979858398,536.1900520324707,1503.929988861084,3007.859977722168,20210.20004272461,0.05361900520324707,414.92780189514156,2019-06-08,2019-05-16
38,2019-06-16,9,13,437.8001022338867,98.38994979858398,536.1900520324707,1503.929988861084,3007.859977722168,20210.20004272461,0.05361900520324707,414.92780189514156,2019-06-09,2019-05-17
39,2019-06-17,9,14,434.94010162353516,130.31001663208008,565.2501182556152,1503.929988861084,2811.2999877929688,20553.200035095215,0.05652501182556152,422.3690030670166,2019-06-10,2019-05-18
40,2019-06-18,9,14,434.94010162353516,106.34975051879883,541.289852142334,1405.6499938964844,2811.2999877929688,20553.200035095215,0.0541289852142334,421.8897977447509,2019-06-11,2019-05-19
41,2019-06-19,8,15,434.2501029968262,175.56993103027344,609.8200340270996,1405.6499938964844,2863.3899879455566,20553.200035095215,0.06098200340270996,423.2604013824463,2019-06-12,2019-05-20
42,2019-06-20,8,15,434.2501029968262,346.7801818847656,781.0302848815918,1431.6949939727783,2863.3899879455566,20553.200035095215,0.07810302848815918,426.68460639953616,2019-06-13,2019-05-21
43,2019-06-21,7,17,488.9700736999512,249.40006256103516,738.3701362609863,1431.6949939727783,4210.909915924072,21140.720054626465,0.07383701362609864,437.581803817749,2019-06-14,2019-05-22
44,2019-06-22,7,17,488.9700736999512,249.40006256103516,738.3701362609863,2105.454957962036,4210.909915924072,21140.720054626465,0.07383701362609864,437.581803817749,2019-06-15,2019-05-23
45,2019-06-23,7,17,488.9700736999512,249.40006256103516,738.3701362609863,2105.454957962036,4210.909915924072,21140.720054626465,0.07383701362609864,437.581803817749,2019-06-16,2019-05-24
46,2019-06-24,7,19,502.67007064819336,328.1396713256836,830.809741973877,2105.454957962036,3522.609935760498,22345.500022888184,0.08308097419738769,463.5261952972412,2019-06-17,2019-05-25
47,2019-06-25,5,21,486.2700309753418,262.9997787475586,749.2698097229004,1761.304967880249,4327.869915008545,22345.500022888184,0.07492698097229004,461.8953966522217,2019-06-18,2019-05-26
48,2019-06-26,4,23,466.7300224304199,284.5599899291992,751.2900123596191,2163.9349575042725,5249.709926605225,22597.92002105713,0.07512900123596192,466.984200668335,2019-06-19,2019-05-27
49,2019-06-27,4,23,466.7300224304199,274.10009765625,740.8301200866699,2624.8549633026123,5249.709926605225,22597.92002105713,0.07408301200866699,466.775002822876,2019-06-20,2019-05-28
50,2019-06-28,4,23,466.7300224304199,327.010009765625,793.7400321960449,2624.8549633026123,5249.709926605225,22597.92002105713,0.07937400321960449,467.8332010650635,2019-06-21,2019-05-29
51,2019-06-29,4,23,466.7300224304199,327.010009765625,793.7400321960449,2624.8549633026123,5249.709926605225,22597.92002105713,0.07937400321960449,467.8332010650635,2019-06-22,2019-05-30
52,2019-06-30,4,23,466.7300224304199,327.010009765625,793.7400321960449,2624.8549633026123,5249.709926605225,22597.92002105713,0.07937400321960449,467.8332010650635,2019-06-23,2019-05-31
53,2019-07-05,6,23,466.7300224304199,338.5797348022461,805.309757232666,2624.8549633026123,3494.0499687194824,24353.57997894287,0.0805309757232666,503.1777947235108,2019-06-28,2019-06-05
54,2019-07-06,6,23,466.7300224304199,338.5797348022461,805.309757232666,1747.0249843597412,3494.0499687194824,24353.57997894287,0.0805309757232666,503.1777947235108,2019-06-29,2019-06-06
55,2019-07-07,6,23,466.7300224304199,338.5797348022461,805.309757232666,1747.0249843597412,3494.0499687194824,24353.57997894287,0.0805309757232666,503.1777947235108,2019-06-30,2019-06-07
56,2019-07-08,8,24,451.13007736206055,323.4800262451172,774.6101036071777,1747.0249843597412,2784.3499870300293,26086.39998626709,0.07746101036071777,537.2202017974854,2019-07-01,2019-06-08
57,2019-07-09,11,24,451.13007736206055,381.16969299316406,832.2997703552246,1392.1749935150146,1393.0099830627441,27477.739990234375,0.08322997703552246,566.200795211792,2019-07-02,2019-06-09
58,2019-07-10,13,24,451.13007736206055,438.059814453125,889.1898918151855,696.5049915313721,736.7699775695801,28133.97999572754,0.08891898918151855,580.4633977508545,2019-07-03,2019-06-10
59,2019-07-11,13,25,421.2501029968262,481.3297424316406,902.5798454284668,368.38498878479004,1057.949993133545,28499.859992980957,0.09025798454284668,588.0487967681885,2019-07-04,2019-06-11
60,2019-07-12,12,27,417.330135345459,522.6696624755859,939.9997978210449,528.9749965667725,1508.0499992370605,28571.83999633789,0.09399997978210449,590.2367958831787,2019-07-05,2019-06-12
61,2019-07-13,12,27,417.330135345459,522.6696624755859,939.9997978210449,754.0249996185303,1508.0499992370605,28571.83999633789,0.09399997978210449,590.2367958831787,2019-07-06,2019-06-13
62,2019-07-14,12,27,417.330135345459,522.6696624755859,939.9997978210449,754.0249996185303,1508.0499992370605,28571.83999633789,0.09399997978210449,590.2367958831787,2019-07-07,2019-06-14
63,2019-07-15,13,27,417.330135345459,511.5196533203125,928.8497886657715,754.0249996185303,1471.0400009155273,28608.849994659424,0.09288497886657715,590.7539956665039,2019-07-08,2019-06-15
64,2019-07-16,10,30,417.4901313781738,457.05973052978516,874.549861907959,735.5200004577637,1877.5199966430664,28608.849994659424,0.0874549861907959,589.6679971313476,2019-07-09,2019-06-16
65,2019-07-17,9,31,416.65013122558594,506.45994567871094,923.1100769042969,938.7599983215332,1913.6899948120117,28608.849994659424,0.09231100769042969,590.6392014312744,2019-07-10,2019-06-17
66,2019-07-18,8,33,429.9901580810547,550.4099426269531,980.4001007080078,956.8449974060059,2621.0900497436523,29198.849994659424,0.09804001007080078,603.5850019073487,2019-07-11,2019-06-18
67,2019-07-19,6,36,406.8701705932617,484.90000915527344,891.7701797485352,1310.5450248718262,3609.1500549316406,29909.489986419678,0.08917701797485351,616.0252033233643,2019-07-12,2019-06-19
68,2019-07-20,6,36,406.8701705932617,484.90000915527344,891.7701797485352,1804.5750274658203,3609.1500549316406,29909.489986419678,0.08917701797485351,616.0252033233643,2019-07-13,2019-06-20
69,2019-07-21,6,36,406.8701705932617,484.90000915527344,891.7701797485352,1804.5750274658203,3609.1500549316406,29909.489986419678,0.08917701797485351,616.0252033233643,2019-07-14,2019-06-21
70,2019-07-22,5,38,419.3901901245117,535.2000198364258,954.5902099609375,1804.5750274658203,4426.950057983398,30203.609981536865,0.09545902099609375,623.1640038299561,2019-07-15,2019-06-22
71,2019-07-23,6,38,419.3901901245117,520.6096954345703,939.999885559082,2213.475028991699,4172.31005859375,30458.249980926514,0.0939999885559082,627.9649973297119,2019-07-16,2019-06-23
72,2019-07-24,5,40,418.98018646240234,429.89981842041016,848.8800048828125,2086.155029296875,4503.760070800781,31354.249980926514,0.08488800048828125,644.0625997161866,2019-07-17,2019-06-24
73,2019-07-25,6,41,713.6600570678711,34.46002960205078,748.1200866699219,2251.8800354003906,7581.860050201416,32330.65000152588,0.07481200866699218,661.575401763916,2019-07-18,2019-06-25
74,2019-07-26,6,41,713.6600570678711,55.0699577331543,768.7300148010254,3790.930025100708,7581.860050201416,32330.65000152588,0.07687300148010254,661.9876003265382,2019-07-19,2019-06-26
75,2019-07-27,6,41,713.6600570678711,55.0699577331543,768.7300148010254,3790.930025100708,7581.860050201416,32330.65000152588,0.07687300148010254,661.9876003265382,2019-07-20,2019-06-27
76,2019-07-28,6,41,713.6600570678711,55.0699577331543,768.7300148010254,3790.930025100708,7581.860050201416,32330.65000152588,0.07687300148010254,661.9876003265382,2019-07-21,2019-06-28
77,2019-07-29,7,41,713.6600570678711,58.72001266479492,772.380069732666,3790.930025100708,7471.410053253174,32441.09999847412,0.0772380069732666,664.2696013641358,2019-07-22,2019-06-29
78,2019-07-30,7,41,713.6600570678711,51.06996726989746,764.7300243377686,3735.705026626587,7471.410053253174,32441.09999847412,0.07647300243377686,664.1166004562378,2019-07-23,2019-06-30
79,2019-07-31,5,43,698.8600082397461,38.660037994384766,737.5200462341309,3735.705026626587,9183.130023956299,32441.09999847412,0.07375200462341308,682.4846004486084,2019-07-24,2019-07-01
80,2019-08-05,2,46,701.3199844360352,5.7899932861328125,707.109977722168,4591.565011978149,10444.989986419678,32441.09999847412,0.0707109977722168,707.721799697876,2019-07-29,2019-07-06
81,2019-08-06,5,46,701.3199844360352,11.809999465942383,713.1299839019775,5222.494993209839,5223.579940795898,37662.5100440979,0.07131299839019775,767.5128005599976,2019-07-30,2019-07-07
82,2019-08-07,6,46,701.3199844360352,40.229997634887695,741.5499820709229,2611.789970397949,3797.6298828125,39088.4601020813,0.07415499820709229,796.6002016830445,2019-07-31,2019-07-08
83,2019-08-08,8,46,701.3199844360352,147.18997192382812,848.5099563598633,1898.81494140625,2137.019905090332,40749.07007980347,0.08485099563598633,831.9516007232667,2019-08-01,2019-07-09
84,2019-08-09,10,46,701.3199844360352,200.2900047302246,901.6099891662598,1068.509952545166,1126.3999099731445,41759.690074920654,0.09016099891662598,853.2260012817383,2019-08-02,2019-07-10
85,2019-08-10,10,46,701.3199844360352,200.2900047302246,901.6099891662598,563.1999549865723,1126.3999099731445,41759.690074920654,0.09016099891662598,853.2260012817383,2019-08-03,2019-07-11
86,2019-08-11,10,46,701.3199844360352,200.2900047302246,901.6099891662598,563.1999549865723,1126.3999099731445,41759.690074920654,0.09016099891662598,853.2260012817383,2019-08-04,2019-07-12
87,2019-08-12,10,46,701.3199844360352,121.55997085571289,822.879955291748,563.1999549865723,1126.3999099731445,41759.690074920654,0.0822879955291748,851.6514006042481,2019-08-05,2019-07-13
88,2019-08-13,10,47,700.9899826049805,167.50001525878906,868.4899978637695,563.1999549865723,853.3399085998535,42070.41007614136,0.08684899978637696,858.7780014801025,2019-08-06,2019-07-14
89,2019-08-14,3,54,677.9398193359375,0.26003265380859375,678.1998519897461,426.66995429992676,8975.359825134277,42070.41007614136,0.06781998519897461,870.9153980255127,2019-08-07,2019-07-15
90,2019-08-15,4,54,677.9398193359375,39.61003112792969,717.5498504638672,4487.679912567139,7731.359825134277,43314.41007614136,0.07175498504638672,880.6391985321045,2019-08-08,2019-07-16
91,2019-08-16,4,54,677.9398193359375,37.93004608154297,715.8698654174805,3865.6799125671387,7731.359825134277,43314.41007614136,0.07158698654174804,880.6055988311767,2019-08-09,2019-07-17
92,2019-08-17,4,54,677.9398193359375,37.93004608154297,715.8698654174805,3865.6799125671387,7731.359825134277,43314.41007614136,0.07158698654174804,880.6055988311767,2019-08-10,2019-07-18
93,2019-08-18,4,54,677.9398193359375,37.93004608154297,715.8698654174805,3865.6799125671387,7731.359825134277,43314.41007614136,0.07158698654174804,880.6055988311767,2019-08-11,2019-07-19
94,2019-08-19,4,54,677.9398193359375,68.00003051757812,745.9398498535156,3865.6799125671387,7731.359825134277,43314.41007614136,0.07459398498535157,881.2069985198974,2019-08-12,2019-07-20
95,2019-08-20,5,54,677.9398193359375,45.349945068359375,723.2897644042969,3865.6799125671387,6668.409843444824,44377.36005783081,0.07232897644042968,902.0129964447021,2019-08-13,2019-07-21
96,2019-08-21,7,54,677.9398193359375,69.68994140625,747.6297607421875,3334.204921722412,5168.379859924316,45877.39004135132,0.07476297607421875,932.5003960418701,2019-08-14,2019-07-22
97,2019-08-22,8,55,662.579833984375,73.2601089477539,735.8399429321289,2584.189929962158,4778.079864501953,46917.7000541687,0.07358399429321288,953.0707999420166,2019-08-15,2019-07-23
98,2019-08-23,8,56,644.0798492431641,33.5899658203125,677.6698150634766,2389.0399322509766,5424.369857788086,47315.86005783081,0.06776698150634766,959.8705974578858,2019-08-16,2019-07-24
99,2019-08-24,8,56,644.0798492431641,33.5899658203125,677.6698150634766,2712.184928894043,5424.369857788086,47315.86005783081,0.06776698150634766,959.8705974578858,2019-08-17,2019-07-25
100,2019-08-25,8,56,644.0798492431641,33.5899658203125,677.6698150634766,2712.184928894043,5424.369857788086,47315.86005783081,0.06776698150634766,959.8705974578858,2019-08-18,2019-07-26
101,2019-08-26,8,56,644.0798492431641,87.59001159667969,731.6698608398438,2712.184928894043,5424.369857788086,47315.86005783081,0.07316698608398438,960.9505983734131,2019-08-19,2019-07-27
102,2019-08-27,9,56,644.0798492431641,91.43010711669922,735.5099563598633,2712.184928894043,3922.699836730957,48817.53007888794,0.07355099563598633,991.0608007049561,2019-08-20,2019-07-28
103,2019-08-28,11,56,644.0798492431641,96.449951171875,740.5298004150391,1961.3499183654785,2706.6198654174805,50033.610050201416,0.0740529800415039,1015.4827970123291,2019-08-21,2019-07-29
104,2019-08-29,10,57,652.5698547363281,77.19992065429688,729.769775390625,1353.3099327087402,2825.5598678588867,50033.610050201416,0.0729769775390625,1015.2675965118408,2019-08-22,2019-07-30
